clause_text,clause_type,domain
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
"Franchisee  also  acknowledges  that Pretzel Time has granted the Franchise to  Franchisee  in  consideration  of and reliance  upon  Franchisee's agreement to deal  exclusively  with Pretzel Time.  Franchisee  therefore agrees that  during the term of the  Franchise  Agreement,  or the period of time which Franchisee operates a Unit under this Agreement,  whichever is shorter,  neither Franchisee  nor  any  Affiliate,  immediate  family  member,  or  in  the  event Franchisee is a corporation

any Owner thereof and member of his immediate  family or in the event  Franchise is a partnership any partner  (general or limited) thereof and any member of his immediate family, shall:

         (1) Have  any  direct  or  indirect  interest  as an  owner,  investor,          partner, director, officer, employee, consultant, representative, agent          or in  any  other  capacity  in any  Competitive  Business  located  or          operating  at the Site or within  three (3) miles of any  Pretzel  Time          Unit  in  operation  or  under  development  on the  effective  date of          termination or expiration of this Agreement, except a Pretzel Time Unit          operated by Franchisee under Franchise Agreements with Pretzel Time; or

         (2) Recruit or hire any employee who, within the immediately  preceding          six (6) month period,  was employed by Pretzel Time or any Pretzel Time          Unit operated by Pretzel Time, its Affiliates or another  franchisee or          licensee  of  Pretzel  Time,   without   obtaining  the  prior  written          permission of Pretzel Time or such franchisee.",Non-Compete,Original Corporate
"This Consulting Agreement (the ""Agreement"") is made and entered into as of this 2nd day of January 2020,",Effective Date & Parties,Original Corporate
"The software warranty period shall be 12 months, during which the Licensor will fix any critical bugs free of charge.",Warranty Duration,Service
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
The Master Franchise Agreement requires application of the laws of New York.,Governing Law,Original Corporate
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Pune under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
"If performance is delayed by a force majeure event for more than 30 days, either party may terminate the contract.",Force Majeure,General
All out­of­pocket costs for Patent Prosecution of Jointly Owned Patents and for maintaining Jointly Owned Patents in the Territory shall be shared equally by the Parties.,Intellectual Property,Original Corporate
"In the event that either Zogenix or Distributor intends to file a patent application containing a Joint Invention, such Party shall promptly notify the other Party of such intention and shall provide a draft of any such patent application to such other Party [***] before filing such patent application with any patent office and the Parties shall negotiate in good faith concerning the terms and conditions of a joint patent agreement.",Intellectual Property,Original Corporate
"This Agreement shall be binding upon Turpin and the      heirs and legal  representatives  of Turpin,  and shall be binding upon and      ensure to the  benefit  of the  Company  and its  successors  and  assigns,      including  any  corporation  with  which or into  which the  Company or its      successors may be merged or which may succeed, to its assets or business.",License Grant,Original Corporate
"each individually ""a Party,"" and collectively, ""the Parties.""",Effective Date & Parties,Original Corporate
The covenant not to compete restricts the Employee from joining rival tech companies for 6 months in the region of Kolkata.,Non-Compete,Employment
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"Consultant agrees to assist Company, or its designee, at the Company's expense, in every proper way to secure the Company's rights in Inventions in any and all countries, including the disclosure to the Company of all pertinent information and data with respect thereto, the execution of all applications, specifications, oaths, assignments and all other instruments that the Company may deem necessary in order to apply for, register, obtain, maintain, defend, and enforce such rights, and in order to deliver, assign and convey to the Company, its successors, assigns and nominees the sole and exclusive right, title, and interest in and to all Inventions and testifying in a suit or other proceeding relating to such Inventions.",Intellectual Property,Original Corporate
