clause_text,risk_level,domain,clause_type,is_synthetic
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
"During the Term, MMT shall not Commercialize in any manner any Competing Product in the Field in any country in the Territory; provided, however, the Parties hereby acknowledge that the restrictions set forth in this Section 2.3 shall not apply to any Affiliates of MMT (including Pfizer).",high,Original Corporate,Non-Compete,False
"In the event that the Transfer License is granted, Achaogen shall owe no payments to Microgenics for the first [***] ([***]) months that any Assay commercialized under the Transfer License is commercialized and shall pay a [***] percent ([***]%) royalty on its net sales (i.e., gross sales less all deductions, reductions and offsets reasonably taken in accordance with generally accepted accounting principles in the United States) of Assays commercialized under the Transfer License following the end of such [***] ([***]) month",medium,Original Corporate,Revenue/Profit Sharing,False
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
"Company agrees that it will not file, during the Contract Period or afterward, any application for trademark registration or otherwise obtain or attempt to obtain ownership of any trademark or trade name within the Contract Territory or in any other country of the world which consists of the NFLA Identification or any mark, design or logo intended to obtain any rights to the name of the NFLA or to identify products as being endorsed b the NFLA.",medium,Original Corporate,Covenant Not To Sue,False
"If termination occurs after you begin the Hotel Work but before the Opening Date, you will pay us Liquidated Damages in an amount equal to $3,600 multiplied by the number of approved Guest Rooms at the Hotel, unless your failure to complete the Hotel Work was the result of Force Majeure.",high,Original Corporate,Liquidated Damages,False
The Borrower shall repay the loan at an interest rate of 8% per annum. Late payments shall attract a grace period of 7 days.,low,Loan,Interest & Penalties,True
"representation of fact, which has the effect or tendency to, or could have the effect or tendency to, disparage,  denigrate, criticize or otherwise reflect negatively on the other party and/or the other party's products, services,  officers, directors, shareholders, employees or investors (a ""Disparaging Communication"").",medium,Original Corporate,Non-Disparagement,False
This Agreement shall be construed and enforced and interpreted in accordance with and governed by the laws of the Commonwealth of Massachusetts without reference to principles of conflicts of law.,low,Original Corporate,Governing Law,False
"The rights granted hereunder shall be effective as of the Effective Date and shall expire on December 31, 2006 (the ""Term""); provided, however, that with respect to each Property, including Robots, Kingdom of Heaven, Mr. and Mrs. Smith, In Her Shoes, Idiocracy (Oww My Balls) and Ice Age II, all right and licenses granted herein will continue in full force and effect until March 31, 2008.""",low,Original Corporate,Expiration Date,False
Each party agrees not to make any disparaging remarks about the other party's products in public marketing materials.,medium,Original Corporate,Non-Disparagement,True
The term of this Agreement will begin on the Effective Date and                  will end on the second (2nd) anniversary of the Commencement                  Date.,low,Original Corporate,Expiration Date,False
The Employee shall not work for any competitor in the same city for 24 months after the termination of employment.,medium,Employment,Non-Compete,True
The Borrower shall repay the loan at an interest rate of 18% per annum. Late payments shall attract a grace period of 7 days.,low,Loan,Interest & Penalties,True
"Should             these results differ to those provided by Client's server by more             than 10%, Client may, once per quarter during Excite's regular             business hours and at Client's sole expense, review these records to             verify the accuracy and appropriate accounting of XXXXXXXXX             delivered pursuant to the Agreement.",medium,Original Corporate,Audit Rights,False
"Even in case of agreements with foreign (non-German) Software Publishers and Affiliates, the law of the Federal Republic of Germany applies.",low,Original Corporate,Governing Law,False
"Subject to the terms and conditions, Provider grants Client a limited, personal, non-exclusive license to access the platform.",low,Original Corporate,License Grant,True
Any purported assignment or transfer except in accordance with the above shall be void and of no effect.,high,Original Corporate,Anti-Assignment,False
"Liquidmetal grants to Eutectix during the Term of this Agreement and subject to the Field of Use Restrictions (as defined below), a royalty-bearing, worldwide, non-transferrable, non-exclusive license (or sublicense as the case may be) to the Licensed Patents (as defined below) and the Licensed Technical Information (as defined below) to make and have made, assemble and have assembled, use, sell, offer to sell, import and offer to import, export and offer to export, distribute and offer to distribute, repair, reconstruct, practice, and maintain Licensed Products in the Field (as defined below).",high,Original Corporate,License Grant,False
This Agreement will be deemed entered into in Arizona and will be governed by and interpreted in accordance with the internal substantive laws of the State of Arizona without reference to conflicts of law provisions.,low,Original Corporate,Governing Law,False
